padrao,vertente_id,vertente_nome,camada,prioridade,ganho,pureza,suporte,exemplos
IGREJA ADIVENTISTA,99739,Evangélicas de Missão - Evangélica Adventista do Sétimo Dia,grafia,90,102,1.0,0,IGREJA ADIVENTISTA | IGREJA ADIVENTISTA DA PROMESSA | IGREJA ADIVENTISTA DO 7DIA
IGREJA PENTESCOTAL,95265,Evangélicas de origem pentecostal,grafia,90,100,1.0,0,IGREJA PENTESCOTAL DO DEUS JEOVA | IGREJA PENTESCOTAL DA VIDA | IGREJA PENTESCOTAL MISSIONARIA
IGREJA PREBISTERIANA,100404,Evangélicas de Missão - Igreja Evangélica Presbiteriana,grafia,90,95,1.0,0,IGREJA PREBISTERIANA EBENEZER | IGREJA PREBISTERIANA FILADELFIA | ABEXO DA IGREJA PREBISTERIANA
IGREJA ASSEMLEIA DE DEUS,100409,Evangélicas de origem pentecostal - Igreja Assembléia de Deus,grafia,90,91,1.0,0,IGREJA ASSEMLEIA DE DEUS MONTE HOREBE | IGREJA ASSEMLEIA DE DEUS GIDEOES | IGREJA ASSEMLEIA DE DEUS
IGREJA PENTACOSTAL,95265,Evangélicas de origem pentecostal,grafia,90,90,1.0,0,IGREJA PENTACOSTAL TORRE FORTE | IGREJA PENTACOSTAL DO FILHO DE DEUS | IGREJA PENTACOSTAL DEUS E LUZ
IGREJA PRESBETERIANA,100404,Evangélicas de Missão - Igreja Evangélica Presbiteriana,grafia,90,84,1.0,0,IGREJA PRESBETERIANA DE ITAPURANGA | 6 IGREJA PRESBETERIANA | IGREJA PRESBETERIANA INDEPENDENTE DO KM1
ASSEMBLEA DE DEUS,100409,Evangélicas de origem pentecostal - Igreja Assembléia de Deus,grafia,90,83,1.0,0,IGREJA EVANG ASSEMBLEA DE DEUS | ASSEMBLEA DE DEUS CONG MARANATA | ASSEMBLEA DE DEUS MINISTERIO EM TEMPOS DE MILAGRES
IGREJA ENVAGELICA,121096,Evangélica não determinada,grafia,90,79,1.0,0,IGREJA ENVAGELICA AVIVAMENTO EM CRISTO | IGREJA ENVAGELICA MONTES DAS OLVIEIRAS | IGREJA ENVAGELICA FOGO E GLORIA
CONGREGRACAO CRISTA NO BRASIL,99746,Evangélicas de origem pentecostal - Igreja Congregação Cristã do Brasil,grafia,90,77,1.0,0,IGREJA CONGREGRACAO CRISTA NO BRASIL | SALA DE ORACAO DA CONGREGRACAO CRISTA NO BRASIL | CONGREGRACAO CRISTA NO BRASIL
CAMDOMBLE,2828,Candomblé,grafia,90,68,1.0,0,BARRACAO CAMDOMBLE | CASA CAMDOMBLE | CASA CAMDOMBLE NACAO KETU
IGREJA ASSEMBLEI DE DEUS,100409,Evangélicas de origem pentecostal - Igreja Assembléia de Deus,grafia,90,66,1.0,0,IGREJA ASSEMBLEI DE DEUS | IGREJA ASSEMBLEI DE DEUS PLENITUDE DOS T | IGREJA ASSEMBLEI DE DEUS CONGREG NOVA CANAA
IGREJA QUADRAGULAR,100411,Evangélicas de origem pentecostal - Igreja Evangelho Quadrangular,grafia,90,66,1.0,0,IGREJA QUADRAGULAR TABERNACULO NOVOS COMECOS | IGREJA QUADRAGULAR | IGREJA QUADRAGULAR IEQ PORTELINHA
IGREJA DO EVAGELHO QUADRANGULAR,100411,Evangélicas de origem pentecostal - Igreja Evangelho Quadrangular,grafia,90,63,1.0,0,IGREJA DO EVAGELHO QUADRANGULAR | IGREJA DO EVAGELHO QUADRANGULAR SANTUARIO DOS MILAGRES | 2 IGREJA DO EVAGELHO QUADRANGULAR
ASSEMBLIA DE DEUS,100409,Evangélicas de origem pentecostal - Igreja Assembléia de Deus,grafia,90,62,1.0,0,ASSEMBLIA DE DEUS ADONAI | ASSEMBLIA DE DEUS MINISTERIO GUERREIROS DA ULTIMA HORA | TEMPLO DA ASSEMBLIA DE DEUS
CONGRECACAO CRISTA NO BRASIL,99746,Evangélicas de origem pentecostal - Igreja Congregação Cristã do Brasil,grafia,90,62,1.0,0,IGLEJA CONGRECACAO CRISTA NO BRASIL | IGREJA CONGRECACAO CRISTA NO BRASIL | CONGRECACAO CRISTA NO BRASIL
CONCREGACAO CRISTA NO BRASIL,99746,Evangélicas de origem pentecostal - Igreja Congregação Cristã do Brasil,grafia,90,61,1.0,0,CONCREGACAO CRISTA NO BRASIL | IGREJA CONCREGACAO CRISTA NO BRASIL | SALA DE ORACAO DA CONCREGACAO CRISTA NO BRASIL
IGREJA EVANGELIA,121096,Evangélica não determinada,grafia,90,60,1.0,0,ASSISTENCIA SOCIAL IGREJA EVANGELIA | IGREJA EVANGELIA PETECOSTAL JESUS E AMOR | IGREJA EVANGELIA A VERDADE DA VIDA SOBRENATURAL
IGREJA TESTEMUNHO DE JEOVA,2824,Testemunhas de Jeová,grafia,90,56,1.0,0,IGREJA TESTEMUNHO DE JEOVA
COGREGACAO CRISTA NO BRASIL,99746,Evangélicas de origem pentecostal - Igreja Congregação Cristã do Brasil,grafia,90,55,1.0,0,COGREGACAO CRISTA NO BRASIL | IGREJA COGREGACAO CRISTA NO BRASIL
ASSSEMBLEIA DE DEUS,100409,Evangélicas de origem pentecostal - Igreja Assembléia de Deus,grafia,90,54,1.0,0,ASSSEMBLEIA DE DEUS MINISTERIO BELEM | ASSSEMBLEIA DE DEUS MINISTERIO O SENHOR DEUS DE ISRAEL | IGREIJA ASSSEMBLEIA DE DEUS MINISTERIO BELEM
IGREJA DO EVANGELHO QUADRAGULAR,100411,Evangélicas de origem pentecostal - Igreja Evangelho Quadrangular,grafia,90,53,1.0,0,IGREJA DO EVANGELHO QUADRAGULAR CATEDRAL DO AVIVAMENTO | IGREJA DO EVANGELHO QUADRAGULAR MATINHA 1 | SALAO DE BELEZA AO LADO DA IGREJA DO EVANGELHO QUADRAGULAR
IGREJA ASSEMBELIA DE DEUS,100409,Evangélicas de origem pentecostal - Igreja Assembléia de Deus,grafia,90,53,1.0,0,PEQUENA IGREJA ASSEMBELIA DE DEUS | IGREJA ASSEMBELIA DE DEUS | IGREJA ASSEMBELIA DE DEUS MINISTERIO EMANUEL
IGREJA PENTECOATAL,95265,Evangélicas de origem pentecostal,grafia,90,52,1.0,0,IGREJA PENTECOATAL MISSAO DE JESUS | IGREJA PENTECOATAL NOVA JERUSALEM | IGREJA PENTECOATAL TEMPLO FORMOSA
CANDONBLE,2828,Candomblé,grafia,90,51,1.0,0,CANDONBLE ILEGEGE DAHOME | EDUCAFRO UNBANDA CANDONBLE | CANDONBLE
IGREJA ASSMBLEIA DE DEUS,100409,Evangélicas de origem pentecostal - Igreja Assembléia de Deus,grafia,90,49,1.0,0,IGREJA ASSMBLEIA DE DEUS GALILEIA | IGREJA ASSMBLEIA DE DEUS MISSOES | IGREJA ASSMBLEIA DE DEUS
IGREJA QUANDRANGULAR,100411,Evangélicas de origem pentecostal - Igreja Evangelho Quadrangular,grafia,90,48,1.0,0,IGREJA QUANDRANGULAR | IGREJA QUANDRANGULAR JESUS SALVA | IGREJA QUANDRANGULAR LUGAR DE RECOMECO
IGREJA EVANELICA,121096,Evangélica não determinada,grafia,90,48,1.0,0,IGREJA EVANELICA SINOS DE BELEM | IGREJA EVANELICA FONTE DE VIDA | IGREJA EVANELICA BETANIA
IGREJA PREBITERIANA,100404,Evangélicas de Missão - Igreja Evangélica Presbiteriana,grafia,90,47,1.0,0,IGREJA PREBITERIANA NO BRASIL | IGREJA PREBITERIANA | IGREJA PREBITERIANA DE CROMINIA
ASSRMBLEIA DE DEUS,100409,Evangélicas de origem pentecostal - Igreja Assembléia de Deus,grafia,90,47,1.0,0,ASSRMBLEIA DE DEUS BRAS | ASSRMBLEIA DE DEUS BELEM | ASSRMBLEIA DE DEUS COQUEIRAL
CONGREGACAO CRITA NO BRASIL,99746,Evangélicas de origem pentecostal - Igreja Congregação Cristã do Brasil,grafia,90,47,1.0,0,CONGREGACAO CRITA NO BRASIL | IGREJA CONGREGACAO CRITA NO BRASIL | INGREJA CONGREGACAO CRITA NO BRASIL
IGREJA ASSSEMBLEIA DE DEUS,100409,Evangélicas de origem pentecostal - Igreja Assembléia de Deus,grafia,90,45,1.0,0,IGREJA ASSSEMBLEIA DE DEUS SUB DNER | IGREJA ASSSEMBLEIA DE DEUS | IGREJA ASSSEMBLEIA DE DEUS BELA VISTA
IGREJA PENTECONSTAL,95265,Evangélicas de origem pentecostal,grafia,90,44,1.0,0,IGREJA PENTECONSTAL MINISTERIO ARDENDO EM CHAMAS | IGREJA PENTECONSTAL NOVA ALIANCA | IGREJA PENTECONSTAL GUIADOS PELO ESPIRITO
ASSEMVLEIA DE DEUS,100409,Evangélicas de origem pentecostal - Igreja Assembléia de Deus,grafia,90,43,1.0,0,ASSEMVLEIA DE DEUS AGUIA DE FOGO | ASSEMVLEIA DE DEUS MISSAO IDE | ASSEMVLEIA DE DEUS
IGREJA EVANGELCA,121096,Evangélica não determinada,grafia,90,42,1.0,0,IGREJA EVANGELCA IECLB | IGREJA EVANGELCA RENASCER EM CRISTO | IGREJA EVANGELCA AVIVAMENTO BIBLICO
IGREJA CATILICA,95263,Católica Apostólica Romana,grafia,90,42,1.0,0,IGREJA CATILICA P SANTA CLARA | IGREJA CATILICA DO CACHOEIRA | IGREJA CATILICA
IGREJA COTOLICA,95263,Católica Apostólica Romana,grafia,90,42,1.0,0,IGREJA COTOLICA SAO RAIMUNDO NONATO | IGREJA COTOLICA | IGREJA COTOLICA SAO CRISTOVAN
IGREJA EANGELICA,121096,Evangélica não determinada,grafia,90,40,1.0,0,IGREJA EANGELICA | IGREJA EANGELICA SO O SENHOR E DEUS UNIV | IGREJA EANGELICA ROSA DE SAROM
IGREJA DO EVANGELO QUADRANGULAR,100411,Evangélicas de origem pentecostal - Igreja Evangelho Quadrangular,grafia,90,40,1.0,0,IGREJA DO EVANGELO QUADRANGULAR TABERNACULO DA BENCAO | IGREJA DO EVANGELO QUADRANGULAR | SEGUNDA IGREJA DO EVANGELO QUADRANGULAR
IGREJA ASSENBREIA DE DEUS,100409,Evangélicas de origem pentecostal - Igreja Assembléia de Deus,grafia,90,38,1.0,0,IGREJA ASSENBREIA DE DEUS | IGREJA ASSENBREIA DE DEUS MINISTERIO DO BELEM | NOVA IGREJA ASSENBREIA DE DEUS
IGREJA ADVETISTA DO SETIMO DIA,99739,Evangélicas de Missão - Evangélica Adventista do Sétimo Dia,grafia,90,38,1.0,0,IGREJA ADVETISTA DO SETIMO DIA
IGREJA ADEVENTISTA DO SETIMO DIA,99739,Evangélicas de Missão - Evangélica Adventista do Sétimo Dia,grafia,90,37,1.0,0,IGREJA ADEVENTISTA DO SETIMO DIA
IGREJA PENTECOTAL,95265,Evangélicas de origem pentecostal,grafia,90,35,1.0,0,IGREJA PENTECOTAL VALE DA BENCAO | IGREJA PENTECOTAL JESUS EM PRIMEIRO LUGAR | IGREJA PENTECOTAL JESUS
IGREJA ASSEMBKEIA DE DEUS,100409,Evangélicas de origem pentecostal - Igreja Assembléia de Deus,grafia,90,35,1.0,0,IGREJA ASSEMBKEIA DE DEUS CRISTO PARA TODOS | IGREJA ASSEMBKEIA DE DEUS INTERSSESSORES DE CRISTO | IGREJA ASSEMBKEIA DE DEUS COG NOVA HERUSALEM
IGREJA EVENGELICA,121096,Evangélica não determinada,grafia,90,34,1.0,0,IGREJA EVENGELICA LUZ DA LIBERTACAO | IGREJA EVENGELICA VIDA CRISTA | IGREJA EVENGELICA AMOR A VIDAS AV CHURCH
ASSMBLEIA DE DEUS,100409,Evangélicas de origem pentecostal - Igreja Assembléia de Deus,grafia,90,34,1.0,0,ASSMBLEIA DE DEUS | ASSMBLEIA DE DEUS 1 | ASSMBLEIA DE DEUS MISSAO
IGREJA DO ENVANGELHO QUADRANGULAR,100411,Evangélicas de origem pentecostal - Igreja Evangelho Quadrangular,grafia,90,34,1.0,0,IGREJA DO ENVANGELHO QUADRANGULAR | IGREJA DO ENVANGELHO QUADRANGULAR ESCOLA
IGREJA DO EVANGELHO GUADRANGULAR,100411,Evangélicas de origem pentecostal - Igreja Evangelho Quadrangular,grafia,90,34,1.0,0,23 IGREJA DO EVANGELHO GUADRANGULAR | IGREJA DO EVANGELHO GUADRANGULAR | 22 IGREJA DO EVANGELHO GUADRANGULAR
IGREJA CATLICA,95263,Católica Apostólica Romana,grafia,90,33,1.0,0,IGREJA CATLICA SAO ROQUE | IGREJA CATLICA NS PERPETUO SOCORRO | IGREJA CATLICA
ASSEMLEIA DE DEUS,100409,Evangélicas de origem pentecostal - Igreja Assembléia de Deus,grafia,90,32,1.0,0,IGREJA VIDA NOVA ASSEMLEIA DE DEUS | ASSEMLEIA DE DEUS DONAMAZONAS | ASSEMLEIA DE DEUS DE JOAO PERES
IGREJA CATOLICO,95263,Católica Apostólica Romana,grafia,90,31,1.0,0,IGREJA CATOLICO APOSTOLICA | IGREJA CATOLICO | IGREJA CATOLICO NOSSA SENHORA APARECIDA
ASSEMBLEUA DE DEUS,100409,Evangélicas de origem pentecostal - Igreja Assembléia de Deus,grafia,90,30,1.0,0,ASSEMBLEUA DE DEUS ROSA DE SARON | ASSEMBLEUA DE DEUS JABAQUARA | ASSEMBLEUA DE DEUS MINISTERIO VILA ESPERANCA
TESTEMUNHO DE JEOVA,2824,Testemunhas de Jeová,grafia,90,30,1.0,0,FUNDOS TESTEMUNHO DE JEOVA | IGREJA SALAO DO REIN TESTEMUNHO DE JEOVA | TESTEMUNHO DE JEOVA
IGREJA GUADRANGULAR,100411,Evangélicas de origem pentecostal - Igreja Evangelho Quadrangular,grafia,90,30,1.0,0,IGREJA GUADRANGULAR TABERNACULO DA CONQUISTA | PERTENCE A IGREJA GUADRANGULAR | IGREJA GUADRANGULAR
IGREJA DO EVANGELHO QUANDRANGULAR,100411,Evangélicas de origem pentecostal - Igreja Evangelho Quadrangular,grafia,90,30,1.0,0,IGREJA DO EVANGELHO QUANDRANGULAR TABERNACULO DOS MILAGRES | CONGREGACAO DA IGREJA DO EVANGELHO QUANDRANGULAR | IGREJA DO EVANGELHO QUANDRANGULAR
IGREJA PRESBETERIANA DO BRASIL,100404,Evangélicas de Missão - Igreja Evangélica Presbiteriana,grafia,90,29,1.0,0,IGREJA PRESBETERIANA DO BRASIL | 3 IGREJA PRESBETERIANA DO BRASIL | IGREJA PRESBETERIANA DO BRASIL BANCARIOS
IGREJA BATISA,99741,Evangélicas de Missão - Igreja Evangélica Batista,grafia,90,29,1.0,0,IGREJA BATISA MONTE HERMOM | ACADEMIA DE MUSCULACAO IGREJA BATISA AUL | IGREJA BATISA DO BAIRRO PTB
ASSEMPLEIA DE DEUS,100409,Evangélicas de origem pentecostal - Igreja Assembléia de Deus,grafia,90,29,1.0,0,ASSEMPLEIA DE DEUS DE MISSOES | AVUH ASSEMPLEIA DE DEUS | ASSEMPLEIA DE DEUS SEDENTOS POR CRISTO
IGREJA ADEVENTISTA,99739,Evangélicas de Missão - Evangélica Adventista do Sétimo Dia,grafia,90,28,1.0,0,IGREJA ADEVENTISTA | IGREJA ADEVENTISTA 7DIA | IGREJA ADEVENTISTA DA PROMESSA
IGREJA SEMBLEIA DE DEUS,100409,Evangélicas de origem pentecostal - Igreja Assembléia de Deus,grafia,90,28,1.0,0,IGREJA SEMBLEIA DE DEUS CRISTO E FIDELIDADE | COMODO DA IGREJA SEMBLEIA DE DEUS | IGREJA SEMBLEIA DE DEUS TEMPLO CENTRAL
IGREJA ECANGELICA,121096,Evangélica não determinada,grafia,90,28,1.0,0,IGREJA ECANGELICA DA RENOVACAO | IGREJA ECANGELICA UNIAO APOSTOLICA | IGREJA ECANGELICA DO TRONO DE DEUS
CONGRGACAO CRISTA NO BRASIL,99746,Evangélicas de origem pentecostal - Igreja Congregação Cristã do Brasil,grafia,90,28,1.0,0,IGREJA CONGRGACAO CRISTA NO BRASIL | CONGRGACAO CRISTA NO BRASIL | SALA DE ORACAO DA CONGRGACAO CRISTA NO BRASIL
IGREJA PLESBITERIANA,100404,Evangélicas de Missão - Igreja Evangélica Presbiteriana,grafia,90,28,1.0,0,IGREJA PLESBITERIANA ALIANCA COM DEUA | IGREJA PLESBITERIANA DE HORTOLANDIA | IGREJA PLESBITERIANA HEBRON
CONGRAGACAO CRISTA NO BRASIL,99746,Evangélicas de origem pentecostal - Igreja Congregação Cristã do Brasil,grafia,90,27,1.0,0,IGREJA CONGRAGACAO CRISTA NO BRASIL | IGRAJA CONGRAGACAO CRISTA NO BRASIL | CONGRAGACAO CRISTA NO BRASIL
IGREJA PENECOSTAL,95265,Evangélicas de origem pentecostal,grafia,90,27,1.0,0,IGREJA PENECOSTAL | IGREJA PENECOSTAL AVIVAMENTO POCO DE JACO | IGREJA PENECOSTAL SENHOR JUSTICA NOSSA
IGREJA PRESBETERIANA RENOVADA,100404,Evangélicas de Missão - Igreja Evangélica Presbiteriana,grafia,90,27,1.0,0,IGREJA PRESBETERIANA RENOVADA TREMEMBE | IGREJA PRESBETERIANA RENOVADA | IGREJA PRESBETERIANA RENOVADA DO BRASIL
ASSAMBLEIA DE DEUS,100409,Evangélicas de origem pentecostal - Igreja Assembléia de Deus,grafia,90,27,1.0,0,ASSAMBLEIA DE DEUS CANNA MINISTERIO RESTAURACAO | ASSAMBLEIA DE DEUS AREA 153 | IGREJA PRIMITIVA ASSAMBLEIA DE DEUS O BOM SAMARITANO
IGREJA ASSRMBLEIA DE DEUS,100409,Evangélicas de origem pentecostal - Igreja Assembléia de Deus,grafia,90,27,1.0,0,IGREJA ASSRMBLEIA DE DEUS MINISTERIO ROMPENDO EM FE | IGREJA ASSRMBLEIA DE DEUS | IGREJA ASSRMBLEIA DE DEUS CENTRAL EM BARACELA
IGREJA CAOLICA,95263,Católica Apostólica Romana,grafia,90,26,1.0,0,IGREJA CAOLICA SANTO AMARO | IGREJA CAOLICA DA SAGRADA FAMILIA | IGREJA CAOLICA NOSSA SENHORA DE NAZARE
IGREJA PRESBITERANA,100404,Evangélicas de Missão - Igreja Evangélica Presbiteriana,grafia,90,26,1.0,0,IGREJA PRESBITERANA | MEMORIAL IGREJA PRESBITERANA | IGREJA PRESBITERANA INDEPENDENTE DE SORO
IGREJA BAISTA,99741,Evangélicas de Missão - Igreja Evangélica Batista,grafia,90,26,1.0,0,IGREJA BAISTA | IGREJA BAISTA ROSA DE SARON | IGREJA BAISTA REGULAR
CONCREGACAO CRISTA DO BRASIL,99746,Evangélicas de origem pentecostal - Igreja Congregação Cristã do Brasil,grafia,90,26,1.0,0,CONCREGACAO CRISTA DO BRASIL | IGREJA CONCREGACAO CRISTA DO BRASIL
CONGRECACAO CRISTA DO BRASIL,99746,Evangélicas de origem pentecostal - Igreja Congregação Cristã do Brasil,grafia,90,26,1.0,0,IGREJA CONGRECACAO CRISTA DO BRASIL | CONGRECACAO CRISTA DO BRASIL
IGREJA ADVENISTA DO SETIMO DIA,99739,Evangélicas de Missão - Evangélica Adventista do Sétimo Dia,grafia,90,26,1.0,0,IGREJA ADVENISTA DO SETIMO DIA
IGREJA CARTOLICA,95263,Católica Apostólica Romana,grafia,90,25,1.0,0,IGREJA CARTOLICA SANTA CARMO | IGREJA CARTOLICA QUARTEIS | IGREJA CARTOLICA SAO RAIMUNDO NONATO
IGREJA ASSBLEIA DE DEUS,100409,Evangélicas de origem pentecostal - Igreja Assembléia de Deus,grafia,90,25,1.0,0,IGREJA ASSBLEIA DE DEUS | IGREJA ASSBLEIA DE DEUS MANANCIAL DO CEU | IGREJA ASSBLEIA DE DEUS CAMPO GOIANA
IGREJA PREBISTERIANA DO BRASIL,100404,Evangélicas de Missão - Igreja Evangélica Presbiteriana,grafia,90,25,1.0,0,IGREJA PREBISTERIANA DO BRASIL
IGREJA ASSEMVLEIA DE DEUS,100409,Evangélicas de origem pentecostal - Igreja Assembléia de Deus,grafia,90,24,1.0,0,IGREJA ASSEMVLEIA DE DEUS | IGREJA ASSEMVLEIA DE DEUS CENTRAL | IGREJA ASSEMVLEIA DE DEUS MISSAO TEMPLO CENTRAL
CONGREGRACAO CRISTA DO BRASIL,99746,Evangélicas de origem pentecostal - Igreja Congregação Cristã do Brasil,grafia,90,24,1.0,0,IGREJA CONGREGRACAO CRISTA DO BRASIL | CONGREGRACAO CRISTA DO BRASIL | CONGREGRACAO CRISTA DO BRASIL PENTEADO
IGREJA CATOLIA,95263,Católica Apostólica Romana,grafia,90,24,1.0,0,IGREJA CATOLIA SAO JOSE | IGREJA CATOLIA DA FAZ CONTENDAS | IGREJA CATOLIA APOSTOLICA BRASILEIRA
IGREJA APOSTILICA,95265,Evangélicas de origem pentecostal,grafia,90,23,1.0,0,IGREJA APOSTILICA ESPERANCA EM CRISTO | IGREJA APOSTILICA GUARDIOES DA FE | IGREJA APOSTILICA RESGATE DE VIDAS
IGREJA CATOLUCA,95263,Católica Apostólica Romana,grafia,90,23,1.0,0,IGREJA CATOLUCA DA AGRO PASTORIL | IGREJA CATOLUCA SAO FRANCUSCO | CENTRO CATEQUICO DA IGREJA CATOLUCA
IGREJA PREBISTERIANA RENOVADA,100404,Evangélicas de Missão - Igreja Evangélica Presbiteriana,grafia,90,23,1.0,0,IGREJA PREBISTERIANA RENOVADA REVIVER | IGREJA PREBISTERIANA RENOVADA | IGREJA PREBISTERIANA RENOVADA DO BRASIL
IGREJA CONGRECIONAL,100406,Evangélicas de Missão - Igreja Evangélica Congregacional,grafia,90,22,1.0,0,IGREJA CONGRECIONAL | IGREJA CONGRECIONAL DO BRASIL | IGREJA CONGRECIONAL VERDADE E VIDA
IGREJA EVANGEICA,121096,Evangélica não determinada,grafia,90,22,1.0,0,IGREJA EVANGEICA MINISTERIO JARDIM AMERI | IGREJA EVANGEICA QUADRANGULAR | IGREJA EVANGEICA METODISTA
IGREJA BAPTISTA,99741,Evangélicas de Missão - Igreja Evangélica Batista,grafia,90,22,1.0,0,PRIMEIRA IGREJA BAPTISTA | IGREJA BAPTISTA PRIMITIVA | IGREJA BAPTISTA PRIMITIVA VICENCIA
IGREJA CAROLICA,95263,Católica Apostólica Romana,grafia,90,22,1.0,0,IGREJA CAROLICA SAO SEBASTIAO | IGREJA CAROLICA BOM JESUS DA TERRA FRIA | IGREJA CAROLICA SAO RAIMUNDO NONATO
IGREJA MARANATHA,100414,Evangélicas de origem pentecostal - Igreja Maranata,grafia,90,22,1.0,0,IGREJA MARANATHA MISSIONARIA | IGREJA MARANATHA EVANGELICA PENTECOSTAL DO | IGREJA MARANATHA VEM JESUS
IGREJA ADIVENTISTA DO 7 DIA,99739,Evangélicas de Missão - Evangélica Adventista do Sétimo Dia,grafia,90,22,1.0,0,IGREJA ADIVENTISTA DO 7 DIA | IGREJA ADIVENTISTA DO 7 DIA LAGOA REDONDA GOFO
COGREGACAO CRISTA DO BRASIL,99746,Evangélicas de origem pentecostal - Igreja Congregação Cristã do Brasil,grafia,90,22,1.0,0,IGREJA COGREGACAO CRISTA DO BRASIL | COGREGACAO CRISTA DO BRASIL | SALA DE ORACAO DA COGREGACAO CRISTA DO BRASIL
IGREJA EVANGRLICA,121096,Evangélica não determinada,grafia,90,21,1.0,0,IGREJA EVANGRLICA | IGREJA EVANGRLICA RESTAURANDO VIDAS | IGREJA EVANGRLICA QUADRANGULAR
IGREJA QUADRIANGULAR,100411,Evangélicas de origem pentecostal - Igreja Evangelho Quadrangular,grafia,90,21,1.0,0,IGREJA QUADRIANGULAR | IGREJA QUADRIANGULAR ALDEIA GENIPAPO | IGREJA QUADRIANGULAR NASCEU PARA AMAR BAIRRO SANTA MARIA
IGREJA ASENBLEIA DE DEUS,100409,Evangélicas de origem pentecostal - Igreja Assembléia de Deus,grafia,90,21,1.0,0,IGREJA ASENBLEIA DE DEUS INTERNACIONAL | IGREJA ASENBLEIA DE DEUS RIBEIRAO | IGREJA ASENBLEIA DE DEUS PENTECOSTAL DE JESUS CRISTO
IGREJA ASSEMBLEUA DE DEUS,100409,Evangélicas de origem pentecostal - Igreja Assembléia de Deus,grafia,90,21,1.0,0,IGREJA ASSEMBLEUA DE DEUS PENIEL | IGREJA ASSEMBLEUA DE DEUS CAMINHO CELESTE | IGREJA ASSEMBLEUA DE DEUS PENTECOSTAL
IGREJA ADVESTISTA DO SETIMO DIA,99739,Evangélicas de Missão - Evangélica Adventista do Sétimo Dia,grafia,90,21,1.0,0,IGREJA ADVESTISTA DO SETIMO DIA | ACAMPAMENTO DA IGREJA ADVESTISTA DO SETIMO DIA
CENTRO DE CAMDOMBLE,2828,Candomblé,grafia,90,21,1.0,0,CENTRO DE CAMDOMBLE | CENTRO DE CAMDOMBLE MATRIZ AFRICANA | CENTRO DE CAMDOMBLE AXE OFAOROMI
IGREJA DO EVANJELHO QUADRANGULAR,100411,Evangélicas de origem pentecostal - Igreja Evangelho Quadrangular,grafia,90,20,1.0,0,IGREJA DO EVANJELHO QUADRANGULAR | IGREJA DO EVANJELHO QUADRANGULAR TEMPLO | 12 IGREJA DO EVANJELHO QUADRANGULAR
IGREJA EVANGELHICA,121096,Evangélica não determinada,grafia,90,20,1.0,0,IGREJA EVANGELHICA GLORIA DE DEUS | IGREJA EVANGELHICA QUADRANGULAR | IGREJA EVANGELHICA
CADOMBLE,2828,Candomblé,grafia,90,20,1.0,0,BARRACAO CADOMBLE | IGREJA DO CADOMBLE | TEMPLO DE CADOMBLE
