padrao,vertente_id,fonte,confianca,excluir,prioridade
SANTUARIO SANTO,95263,revisao_fable,media,false,100
CATEDRAL NOSSA SENHORA,95263,revisao_fable,alta,false,100
CATEDRAL SAO,95263,revisao_fable,media,false,100
CATEDRAL SANTA,95263,revisao_fable,media,false,100
CATEDRAL SANTO,95263,revisao_fable,media,false,100
CATEDRAL METROPOLITANA,95263,revisao_fable,alta,false,100
IGREJA BATISTA,99741,censo2010_nomenclatura,alta,false,100
CONGREGACAO BATISTA,99741,revisao_fable,alta,false,100
TEMPLO BATISTA,99741,revisao_fable,alta,false,100
IGREJA PRESBITERIANA DO BRASIL,100404,censo2010_nomenclatura,alta,false,100
IGREJA PRESBITERIANA RENOVADA,100404,inferencia_nome,media,false,100
IGREJA PRESBITERIANA,100404,censo2010_nomenclatura,alta,false,100
IGREJA METODISTA WESLEYANA,100405,inferencia_nome,alta,false,100
IGREJA METODISTA,100405,censo2010_nomenclatura,alta,false,100
IGREJA ADVENTISTA DO SETIMO DIA,99739,censo2010_nomenclatura,alta,false,100
IGREJA ADVENTISTA DO 7 DIA,99739,censo2010_nomenclatura,alta,false,100
IGREJA ADVENTISTA,99739,censo2010_nomenclatura,media,false,100
IGREJA EVANGELICA LUTERANA,100403,censo2010_nomenclatura,alta,false,100
IGREJA EVANGELICA DE CONFISSAO LUTERANA,99740,censo2010_nomenclatura,alta,false,100
IGREJA LUTERANA,100403,censo2010_nomenclatura,alta,false,100
IGREJA EVANGELICA CONGREGACIONAL,100406,censo2010_nomenclatura,alta,false,100
IGREJA CONGREGACIONAL,100406,revisao_fable,media,false,100
IGREJA DE CRISTO PENTECOSTAL,95265,revisao_fable,alta,false,100
IGREJA DE CRISTO PENTENCOSTAL,95265,revisao_fable,alta,false,100
IGREJA DE CRISTO,99743,inferencia_nome,media,false,100
IGREJA DO NAZARENO,99743,pesquisa_web,alta,false,100
IGREJA EVANGELICA ASSEMBLEIA DE DEUS,100409,censo2010_nomenclatura,alta,false,100
IGREJA ASSEMBLEIA DE DEUS,100409,censo2010_nomenclatura,alta,false,100
ASSEMBLEIA DE DEUS,100409,censo2010_nomenclatura,alta,false,100
IGREJA ASSEMBLEIA,100409,inferencia_nome,alta,false,100
IGREJA ASSENBLEIA DE DEUS,100409,inferencia_nome,alta,false,100
IGREJA ASSEMBREIA DE DEUS,100409,inferencia_nome,alta,false,100
IGREJA ASSEBLEIA DE DEUS,100409,inferencia_nome,alta,false,100
IGREJA ASEMBLEIA DE DEUS,100409,revisao_fable,alta,false,100
IGREJA ASS DE DEUS,100409,revisao_fable,alta,false,100
MINISTERIO DE MADUREIRA,100409,revisao_fable,alta,false,100
MINISTERIO MADUREIRA,100409,revisao_fable,alta,false,100
AD MADUREIRA,100409,revisao_fable,media,false,100
NACAO MADUREIRA,100409,revisao_fable,media,false,100
MADUREIRA,100409,revisao_fable,baixa,false,100
ASSEMBLEIA,95265,revisao_fable,baixa,false,30
CONGREGACAO CRISTA NO BRASIL,99746,censo2010_nomenclatura,alta,false,100
CONGREGACAO CRISTA DO BRASIL,99746,censo2010_nomenclatura,alta,false,100
IGREJA CONGREGACAO CRISTA,99746,censo2010_nomenclatura,alta,false,100
CONGREGACAO CRISTA,99746,censo2010_nomenclatura,media,false,100
IGREJA PENTECOSTAL DEUS E AMOR,100413,censo2010_nomenclatura,alta,false,100
IGREJA PENTENCOSTAL DEUS E AMOR,100413,revisao_fable,alta,false,100
IGREJA DEUS E AMOR,100413,censo2010_nomenclatura,alta,false,100
IGREJA DO EVANGELHO QUADRANGULAR,100411,censo2010_nomenclatura,alta,false,100
IGREJA QUADRANGULAR,100411,censo2010_nomenclatura,alta,false,100
IGREJA UNIVERSAL DO REINO DE DEUS,99745,censo2010_nomenclatura,alta,false,100
IGREJA UNIVERSAL,99745,censo2010_nomenclatura,alta,false,100
IGREJA INTERNACIONAL DA GRACA DE DEUS,99748,pesquisa_web,alta,false,100
IGREJA CRISTA MARANATA,100414,censo2010_nomenclatura,alta,false,100
IGREJA MARANATA,100414,censo2010_nomenclatura,alta,false,100
IGREJA MUNDIAL DO PODER DE DEUS,99748,pesquisa_web,alta,false,100
MUNDIAL DO PODER DE DEUS,99748,revisao_fable,media,false,100
IGREJA MUNDIAL,99748,inferencia_nome,media,false,100
IGREJA O BRASIL PARA CRISTO,100410,censo2010_nomenclatura,alta,false,100
IGREJA CASA DA BENCAO,100412,censo2010_nomenclatura,alta,false,100
IGREJA MISSIONARIA PENTECOSTAL,95265,revisao_fable,alta,false,30
IGREJA MISSIONARIA PETENCOSTAL,95265,revisao_fable,alta,false,30
IGREJA EVANGELICA PENTECOSTAL,95265,inferencia_nome,media,false,30
IGREJA PENTECOSTAL,95265,inferencia_nome,media,false,30
IGREJA PETENCOSTAL,95265,inferencia_nome,media,false,30
IGREJA PENTENCOSTAL,95265,revisao_fable,media,false,30
SALAO DO REINO DAS TESTEMUNHAS DE JEOVA,2824,censo2010_nomenclatura,alta,false,100
SALAO DO REINO TESTEMUNHAS DE JEOVA,2824,censo2010_nomenclatura,alta,false,100
SALAO DO REINO DAS TESTEMUNHA DE JEOVA,2824,censo2010_nomenclatura,alta,false,100
SALAO DO REINO TESTEMUNHA DE JEOVA,2824,censo2010_nomenclatura,alta,false,100
SALAO DAS TESTEMUNHAS DE JEOVA,2824,censo2010_nomenclatura,alta,false,100
IGREJA SALAO DO REINO DAS TESTEMUNHAS DE,2824,censo2010_nomenclatura,alta,false,100
SALAO DO REINO,2824,censo2010_nomenclatura,alta,false,100
IGREJA TESTEMUNHAS DE JEOVA,2824,censo2010_nomenclatura,alta,false,100
IGREJA TESTEMUNHA DE JEOVA,2824,censo2010_nomenclatura,alta,false,100
TESTEMUNHAS DE JEOVA,2824,censo2010_nomenclatura,alta,false,100
TESTEMUNHA DE JEOVA,2824,censo2010_nomenclatura,alta,false,100
CENTRO DE UMBANDA,2829,censo2010_nomenclatura,alta,false,100
CENTRO UMBANDA,2829,censo2010_nomenclatura,alta,false,100
CASA DE UMBANDA,2829,censo2010_nomenclatura,alta,false,100
TENDA DE UMBANDA,2829,censo2010_nomenclatura,alta,false,100
TERREIRO DE UMBANDA,2829,censo2010_nomenclatura,alta,false,100
SALAO DE UMBANDA,2829,censo2010_nomenclatura,alta,false,100
TEMPLO DE UMBANDA,2829,censo2010_nomenclatura,alta,false,100
UMBANDA,2829,censo2010_nomenclatura,media,false,100
TERREIRO DE CANDOMBLE,2828,censo2010_nomenclatura,alta,false,100
CASA DE CANDOMBLE,2828,censo2010_nomenclatura,alta,false,100
CENTRO DE CANDOMBLE,2828,censo2010_nomenclatura,alta,false,100
CANDOMBLE,2828,censo2010_nomenclatura,media,false,100
TERREIRO DE OGUM,2827,revisao_fable,alta,false,95
TERREIRO DE XANGO,2827,revisao_fable,alta,false,100
TERREIRO ILE AXE,2827,revisao_fable,alta,false,95
TERREIRO,2827,inferencia_nome,baixa,false,95
CENTRO ESPIRITA,2826,censo2010_nomenclatura,alta,false,100
CASA ESPIRITA,2826,censo2010_nomenclatura,alta,false,100
TEMPLO ESPIRITA,2826,censo2010_nomenclatura,alta,false,100
ESPIRITA,2826,censo2010_nomenclatura,media,false,100
KARDECISTA,2826,inferencia_nome,alta,false,100
SINAGOGA,95268,censo2010_nomenclatura,alta,false,100
MESQUITA ISLAMICA,95271,revisao_fable,alta,false,100
MESQUITA MUCULMANA,95271,revisao_fable,alta,false,100
MESQUITA MUSSULMANA,95271,revisao_fable,alta,false,100
MESQUITA ARABE,95271,revisao_fable,alta,false,100
MESQUITA AL HUDA,95271,revisao_fable,alta,false,100
MESQUITA DA PAZ,95271,revisao_fable,alta,false,100
MESQUITA SUNITA,95271,revisao_fable,alta,false,100
CENTRO ISLAMICO,95271,revisao_fable,alta,false,100
SOCIEDADE ISLAMICA,95271,revisao_fable,alta,false,100
MUSSALLA,95271,revisao_fable,media,false,100
TEMPLO BUDISTA,95269,censo2010_nomenclatura,alta,false,100
BUDISTA,95269,censo2010_nomenclatura,media,false,100
SANTOS DOS ULTIMOS DIAS,100423,censo2010_nomenclatura,alta,false,100
IGREJA MESSIANICA MUNDIAL DO BRASIL,100428,censo2010_nomenclatura,alta,false,100
IGREJA DA GRACA,99748,inferencia_nome,media,false,100
IGREJA INTERNACIONAL DA GRACA,99748,inferencia_nome,media,false,100
IGREJA APOSTOLICA,95265,inferencia_nome,baixa,false,30
IGREJA EVANGELHO QUADRANGULAR,100411,censo2010_nomenclatura,alta,false,100
IGREJA DO EVANGELIO QUADRANGULAR,100411,inferencia_nome,alta,false,100
IGREJA SO O SENHOR E DEUS,121096,pesquisa_web,media,false,100
IGREJA SINOS DE BELEM,99748,pesquisa_web,alta,false,100
IGREJA BOLA DE NEVE,99748,pesquisa_web,alta,false,100
IGREJA RENASCER,99748,pesquisa_web,alta,false,100
SARA NOSSA TERRA,99748,revisao_fable,alta,false,100
VERBO DA VIDA,99748,revisao_fable,alta,false,100
TABERNACULO DA FE,95265,revisao_fable,media,false,95
IGREJA CASA DE ORACAO,95265,inferencia_nome,baixa,false,95
IGREJA IEQ,100411,inferencia_nome,alta,false,100
BRASIL PARA CRISTO,100410,censo2010_nomenclatura,alta,false,100
IGREJA EVANGELICA,121096,inferencia_nome,baixa,false,30
CASA DE SANTO,2827,inferencia_nome,alta,false,95
ROCA DE SANTO,2827,inferencia_nome,alta,false,100
ILE AXE,2828,inferencia_nome,alta,false,100
YLE AXE,2828,inferencia_nome,alta,false,100
ILEAXE,2828,inferencia_nome,alta,false,100
ILE ASE,2828,inferencia_nome,alta,false,100
YLE ASE,2828,inferencia_nome,alta,false,100
ILE OMO,2828,inferencia_nome,alta,false,100
ABASSA,2828,inferencia_nome,alta,false,100
BABALORIXA,2828,inferencia_nome,alta,false,100
YALORIXA,2828,inferencia_nome,alta,false,100
IALORIXA,2828,inferencia_nome,alta,false,100
CASA DE CARIDADE,2827,inferencia_nome,media,false,95
IEMANJA,2827,inferencia_nome,alta,false,95
OXALA,2827,inferencia_nome,alta,false,100
ORIXA,2827,inferencia_nome,alta,false,100
JUREMA,2827,inferencia_nome,alta,false,100
CATIMBO,2827,inferencia_nome,alta,false,100
QUIMBANDA,2827,inferencia_nome,alta,false,95
DEUS E AMOR,100413,pesquisa_web,alta,false,100
CASA DA BENCAO,100412,pesquisa_web,alta,false,100
MUNDIAL IGREJA DO PODER DE DEUS,99748,pesquisa_web,alta,false,100
IGREJA DE DEUS NO BRASIL,99748,pesquisa_web,alta,false,100
CASA DE ORACAO,95265,pesquisa_web,media,false,30
IGREJA EVANJELICA,121096,mineracao_grafia,alta,false,90
ASSEMBLEI DE DEUS,100409,mineracao_grafia,alta,false,90
IGREJA EVANGLICA,121096,mineracao_grafia,alta,false,90
IGREJA EVANGELUCA,121096,mineracao_grafia,alta,false,90
IGREJA ASSEMBLEA DE DEUS,100409,mineracao_grafia,alta,false,90
IGREJA ASSEMBLIA DE DEUS,100409,mineracao_grafia,alta,false,90
TERRERO,2827,mineracao_grafia,alta,false,90
IGREJA ADIVENTISTA DO SETIMO DIA,99739,mineracao_grafia,alta,false,90
IGREJA PENTECISTAL,95265,mineracao_grafia,alta,false,90
IGREJA BASTISTA,99741,mineracao_grafia,alta,false,90
IGREJA ADIVENTISTA,99739,mineracao_grafia,alta,false,90
IGREJA PENTESCOTAL,95265,mineracao_grafia,alta,false,90
IGREJA PREBISTERIANA,100404,mineracao_grafia,alta,false,90
IGREJA ASSEMLEIA DE DEUS,100409,mineracao_grafia,alta,false,90
IGREJA PENTACOSTAL,95265,mineracao_grafia,alta,false,90
IGREJA PRESBETERIANA,100404,mineracao_grafia,alta,false,90
ASSEMBLEA DE DEUS,100409,mineracao_grafia,alta,false,90
IGREJA ENVAGELICA,121096,mineracao_grafia,alta,false,90
CONGREGRACAO CRISTA NO BRASIL,99746,mineracao_grafia,alta,false,90
CAMDOMBLE,2828,mineracao_grafia,alta,false,90
IGREJA ASSEMBLEI DE DEUS,100409,mineracao_grafia,alta,false,90
IGREJA QUADRAGULAR,100411,mineracao_grafia,alta,false,90
IGREJA DO EVAGELHO QUADRANGULAR,100411,mineracao_grafia,alta,false,90
ASSEMBLIA DE DEUS,100409,mineracao_grafia,alta,false,90
CONGRECACAO CRISTA NO BRASIL,99746,mineracao_grafia,alta,false,90
CONCREGACAO CRISTA NO BRASIL,99746,mineracao_grafia,alta,false,90
IGREJA EVANGELIA,121096,mineracao_grafia,alta,false,90
IGREJA TESTEMUNHO DE JEOVA,2824,mineracao_grafia,alta,false,90
COGREGACAO CRISTA NO BRASIL,99746,mineracao_grafia,alta,false,90
ASSSEMBLEIA DE DEUS,100409,mineracao_grafia,alta,false,90
IGREJA DO EVANGELHO QUADRAGULAR,100411,mineracao_grafia,alta,false,90
IGREJA ASSEMBELIA DE DEUS,100409,mineracao_grafia,alta,false,90
IGREJA PENTECOATAL,95265,mineracao_grafia,alta,false,90
CANDONBLE,2828,mineracao_grafia,alta,false,90
IGREJA ASSMBLEIA DE DEUS,100409,mineracao_grafia,alta,false,90
IGREJA QUANDRANGULAR,100411,mineracao_grafia,alta,false,90
IGREJA EVANELICA,121096,mineracao_grafia,alta,false,90
IGREJA PREBITERIANA,100404,mineracao_grafia,alta,false,90
ASSRMBLEIA DE DEUS,100409,mineracao_grafia,alta,false,90
CONGREGACAO CRITA NO BRASIL,99746,mineracao_grafia,alta,false,90
IGREJA ASSSEMBLEIA DE DEUS,100409,mineracao_grafia,alta,false,90
IGREJA PENTECONSTAL,95265,mineracao_grafia,alta,false,90
ASSEMVLEIA DE DEUS,100409,mineracao_grafia,alta,false,90
IGREJA EVANGELCA,121096,mineracao_grafia,alta,false,90
IGREJA CATILICA,95263,mineracao_grafia,alta,false,90
IGREJA COTOLICA,95263,mineracao_grafia,alta,false,90
IGREJA EANGELICA,121096,mineracao_grafia,alta,false,90
IGREJA DO EVANGELO QUADRANGULAR,100411,mineracao_grafia,alta,false,90
IGREJA ASSENBREIA DE DEUS,100409,mineracao_grafia,alta,false,90
IGREJA ADVETISTA DO SETIMO DIA,99739,mineracao_grafia,alta,false,90
IGREJA ADEVENTISTA DO SETIMO DIA,99739,mineracao_grafia,alta,false,90
IGREJA PENTECOTAL,95265,mineracao_grafia,alta,false,90
IGREJA ASSEMBKEIA DE DEUS,100409,mineracao_grafia,alta,false,90
IGREJA EVENGELICA,121096,mineracao_grafia,alta,false,90
ASSMBLEIA DE DEUS,100409,mineracao_grafia,alta,false,90
IGREJA DO ENVANGELHO QUADRANGULAR,100411,mineracao_grafia,alta,false,90
IGREJA DO EVANGELHO GUADRANGULAR,100411,mineracao_grafia,alta,false,90
IGREJA CATLICA,95263,mineracao_grafia,alta,false,90
ASSEMLEIA DE DEUS,100409,mineracao_grafia,alta,false,90
IGREJA CATOLICO,95263,mineracao_grafia,alta,false,90
ASSEMBLEUA DE DEUS,100409,mineracao_grafia,alta,false,90
TESTEMUNHO DE JEOVA,2824,mineracao_grafia,alta,false,90
IGREJA GUADRANGULAR,100411,mineracao_grafia,alta,false,90
IGREJA DO EVANGELHO QUANDRANGULAR,100411,mineracao_grafia,alta,false,90
IGREJA PRESBETERIANA DO BRASIL,100404,mineracao_grafia,alta,false,90
IGREJA BATISA,99741,mineracao_grafia,alta,false,90
ASSEMPLEIA DE DEUS,100409,mineracao_grafia,alta,false,90
IGREJA ADEVENTISTA,99739,mineracao_grafia,alta,false,90
IGREJA SEMBLEIA DE DEUS,100409,mineracao_grafia,alta,false,90
IGREJA ECANGELICA,121096,mineracao_grafia,alta,false,90
CONGRGACAO CRISTA NO BRASIL,99746,mineracao_grafia,alta,false,90
IGREJA PLESBITERIANA,100404,mineracao_grafia,alta,false,90
CONGRAGACAO CRISTA NO BRASIL,99746,mineracao_grafia,alta,false,90
IGREJA PENECOSTAL,95265,mineracao_grafia,alta,false,90
IGREJA PRESBETERIANA RENOVADA,100404,mineracao_grafia,alta,false,90
ASSAMBLEIA DE DEUS,100409,mineracao_grafia,alta,false,90
IGREJA ASSRMBLEIA DE DEUS,100409,mineracao_grafia,alta,false,90
IGREJA CAOLICA,95263,mineracao_grafia,alta,false,90
IGREJA PRESBITERANA,100404,mineracao_grafia,alta,false,90
IGREJA BAISTA,99741,mineracao_grafia,alta,false,90
CONCREGACAO CRISTA DO BRASIL,99746,mineracao_grafia,alta,false,90
CONGRECACAO CRISTA DO BRASIL,99746,mineracao_grafia,alta,false,90
IGREJA ADVENISTA DO SETIMO DIA,99739,mineracao_grafia,alta,false,90
IGREJA CARTOLICA,95263,mineracao_grafia,alta,false,90
IGREJA ASSBLEIA DE DEUS,100409,mineracao_grafia,alta,false,90
IGREJA PREBISTERIANA DO BRASIL,100404,mineracao_grafia,alta,false,90
IGREJA ASSEMVLEIA DE DEUS,100409,mineracao_grafia,alta,false,90
CONGREGRACAO CRISTA DO BRASIL,99746,mineracao_grafia,alta,false,90
IGREJA CATOLIA,95263,mineracao_grafia,alta,false,90
IGREJA APOSTILICA,95265,mineracao_grafia,alta,false,90
IGREJA CATOLUCA,95263,mineracao_grafia,alta,false,90
IGREJA PREBISTERIANA RENOVADA,100404,mineracao_grafia,alta,false,90
IGREJA CONGRECIONAL,100406,mineracao_grafia,alta,false,90
IGREJA EVANGEICA,121096,mineracao_grafia,alta,false,90
IGREJA BAPTISTA,99741,mineracao_grafia,alta,false,90
IGREJA CAROLICA,95263,mineracao_grafia,alta,false,90
IGREJA MARANATHA,100414,mineracao_grafia,alta,false,90
IGREJA ADIVENTISTA DO 7 DIA,99739,mineracao_grafia,alta,false,90
COGREGACAO CRISTA DO BRASIL,99746,mineracao_grafia,alta,false,90
IGREJA EVANGRLICA,121096,mineracao_grafia,alta,false,90
IGREJA QUADRIANGULAR,100411,mineracao_grafia,alta,false,90
IGREJA ASENBLEIA DE DEUS,100409,mineracao_grafia,alta,false,90
IGREJA ASSEMBLEUA DE DEUS,100409,mineracao_grafia,alta,false,90
IGREJA ADVESTISTA DO SETIMO DIA,99739,mineracao_grafia,alta,false,90
CENTRO DE CAMDOMBLE,2828,mineracao_grafia,alta,false,90
IGREJA DO EVANJELHO QUADRANGULAR,100411,mineracao_grafia,alta,false,90
IGREJA EVANGELHICA,121096,mineracao_grafia,alta,false,90
CADOMBLE,2828,mineracao_grafia,alta,false,90
IGREJA ASSEMBLIA,100409,mineracao_grafia,alta,false,90
IGREJA ENVANGELICA PENTECOSTAL,95265,mineracao_grafia,alta,false,90
IGREJA ASSEMBLRIA DE DEUS,100409,mineracao_grafia,alta,false,90
CENTRO ESPERITA,2826,mineracao_grafia,alta,false,90
IGREJA ADVETISTA,99739,mineracao_grafia,alta,false,90
IGREJA PRESIBITERIANA,100404,mineracao_grafia,alta,false,90
IGREJA ADENTISTA DO SETIMO DIA,99739,mineracao_grafia,alta,false,90
C0NGREGACAO CRISTA NO BRASIL,99746,mineracao_grafia,alta,false,90
IGREJA ASEEMBLEIA DE DEUS,100409,mineracao_grafia,alta,false,90
IGREJA ASSEMBLEA,100409,mineracao_grafia,alta,false,90
IGREJA EVNGELICA,121096,mineracao_grafia,alta,false,90
CASA DE CAMDOMBLE,2828,mineracao_grafia,alta,false,90
IGREJA APISTOLICA,95265,mineracao_grafia,alta,false,90
CENTRO ESPRITA,2826,mineracao_grafia,alta,false,90
ASSWMBLEIA DE DEUS,100409,mineracao_grafia,alta,false,90
IGREJA EVAMGELICA,121096,mineracao_grafia,alta,false,90
MADEIRA,100409,mineracao_grafia,alta,false,90
IGREJA EVANGELIVA,121096,mineracao_grafia,alta,false,90
ASSEMBLEIS DE DEUS,100409,mineracao_grafia,alta,false,90
IGREJA DO EVANGELHO QUADRANCULAR,100411,mineracao_grafia,alta,false,90
IGREJA PREBITERIANA DO BRASIL,100404,mineracao_grafia,alta,false,90
IGREJA ADVENISTA,99739,mineracao_grafia,alta,false,90
IGREJA CRISTAN MARANATA,100414,mineracao_grafia,alta,false,90
IGREJA PENTEGOSTAL,95265,mineracao_grafia,alta,false,90
IGREJA PENTCOSTAL,95265,mineracao_grafia,alta,false,90
ASSEMBELEIA DE DEUS,100409,mineracao_grafia,alta,false,90
IGREJA PENTEOSTAL,95265,mineracao_grafia,alta,false,90
IGREJA BATSTA,99741,mineracao_grafia,alta,false,90
IGREJA EVAGENLICA,121096,mineracao_grafia,alta,false,90
IGREJA ESSEMBLEIA DE DEUS,100409,mineracao_grafia,alta,false,90
IGREJA ASSEMBLEIS DE DEUS,100409,mineracao_grafia,alta,false,90
IGREJA EVSNGELICA,121096,mineracao_grafia,alta,false,90
